date,state,fips,cases,deaths
2024-04-07,Tennessee,47,2729641,30729
2024-04-07,Michigan,26,3306221,44762
2024-04-07,Massachusetts,25,2366707,25577
2024-04-07,Maryland,24,1450849,17913
2024-04-07,Iowa,19,1058274,10797
2024-04-07,Maine,23,346056,3390
2024-04-07,Texas,48,9187413,104754
2024-04-07,Louisiana,22,1684058,19270
2024-04-07,Kansas,20,946564,10229
2024-04-07,Kentucky,21,1808735,19183
2024-04-07,North Dakota,38,309878,2513
2024-04-07,Colorado,08,1874073,15552
2024-04-07,Northern Mariana Islands,69,14341,41
2024-04-07,Ohio,39,3739400,43883
2024-04-07,California,06,12711918,112443
2024-04-07,North Carolina,37,3501404,29059
2024-04-07,Connecticut,09,983652,12354
2024-04-07,Delaware,10,350557,3656
2024-04-07,District of Columbia,11,178747,1434
2024-04-07,Florida,12,8045300,95115
2024-04-07,New York,36,7585424,83374
2024-04-07,New Mexico,35,725324,9623
2024-04-07,New Jersey,34,3293441,36871
2024-04-07,Oklahoma,40,1306350,16157
2024-04-07,New Hampshire,33,382013,3325
2024-04-07,Georgia,13,3287483,44069
2024-04-07,Nevada,32,922845,12478
2024-04-07,Arkansas,05,1062606,13246
2024-04-07,Arizona,04,2606730,34402
2024-04-07,Nebraska,31,574399,5063
2024-04-07,Oregon,41,992619,9764
2024-04-07,American Samoa,60,8359,34
2024-04-07,Pennsylvania,42,3565499,51480
2024-04-07,Montana,30,333758,3712
2024-04-07,Alaska,02,301513,1485
2024-04-07,Puerto Rico,72,1472440,7309
2024-04-07,Guam,66,61139,420
2024-04-07,Hawaii,15,418227,2167
2024-04-07,Idaho,16,525825,5482
2024-04-07,Missouri,29,1780715,22778
2024-04-07,Illinois,17,4136659,42005
2024-04-07,Alabama,01,1659936,21138
2024-04-07,Rhode Island,44,443803,4166
2024-04-07,South Carolina,45,1857853,20311
2024-04-07,Mississippi,28,1000415,13474
2024-04-07,South Dakota,46,282895,3231
2024-04-07,Indiana,18,2207602,28003
2024-04-07,Minnesota,27,1899985,22778
2024-04-07,Virgin Islands,78,26148,133
2024-04-07,Washington,53,2070128,17339
2024-04-07,West Virginia,54,703537,8247
2024-04-07,Virginia,51,2315784,23748
2024-04-07,Vermont,50,155070,1139
2024-04-07,Utah,49,1137389,5719
2024-04-07,Wisconsin,55,2043838,16758
2024-04-07,Wyoming,56,196100,2125
